Core genome analysis
--------------------

Parameters:
Min % identity: 70
Min % alignment: 50
BLASTN word size: 20
Core threshold (percentage of isolates that contain locus): 90%

Locus	Sequence length	Genome position	Isolate frequency	Isolate percentage	Core
NMC1513	906	1531595	12	36.4	-
NMC1514	576	1532562	14	42.4	-
NMC1515	903	1533197	14	42.4	-
NMC1516	1131	1534140	26	78.8	-
NMC1518	2625	1535475	33	100.0	Y
NMC1519	1023	1538188	3	9.1	-
NMC1520	1152	1539264	3	9.1	-
NMC1521	1161	1541046	22	66.7	-
NMC1522	1119	1542118	7	21.2	-
NMC1523	945	1543413	8	24.2	-
NMC1524	684	1544431	31	93.9	Y
NMC1525	2298	1545417	33	100.0	Y
NMC1526	1518	1547734	12	36.4	-
NMC1527	468	1549303	28	84.8	-
NMC1528	753	1549874	22	66.7	-
NMC1530	1170	1552367	30	90.9	Y
NMC1531	762	1553834	12	36.4	-
NMC1532	252	1554695	18	54.5	-
NMC1533	807	1554998	31	93.9	Y
NMC1534	1641	1555994	31	93.9	Y
NMC1535	1413	1557732	30	90.9	Y
NMC1536	888	1559477	8	24.2	-
NMC1538	807	1561494	18	54.5	-
NMC1539	1136	1562744	21	63.6	-
NMC1544	438	1564531	32	97.0	Y
NMC1545	405	1566542	23	69.7	-
NMC1546	1185	1566986	25	75.8	-
NMC1547	534	1568233	5	15.2	-
NMC1548	2256	1568945	30	90.9	Y
NMC1549	1160	1571574	30	90.9	Y
NMC1550	756	1572858	26	78.8	-
NMC1551	794	1574776	4	12.1	-
NMC1552	558	1575770	18	54.5	-
NMC1553	1635	1576403	10	30.3	-
NMC1554	1107	1578318	27	81.8	-
NMC1555	432	1579789	27	81.8	-
NMC1556	1518	1580233	33	100.0	Y
NMC1557	2889	1581762	33	100.0	Y
NMC1558	1395	1584862	28	84.8	-
NMC1559	1341	1586330	18	54.5	-
NMC1560	627	1587813	11	33.3	-
NMC1562	1419	1588503	22	66.7	-
NMC1563	729	1590248	33	100.0	Y
NMC1564	690	1591035	12	36.4	-
NMC1566	465	1592281	17	51.5	-
NMC1567	1059	1593070	19	57.6	-
NMC1568	1356	1594192	32	97.0	Y
NMC1569	273	1595563	25	75.8	-
NMC1570	738	1595961	18	54.5	-
NMC1571	912	1596979	21	63.6	-
NMC1572	594	1598023	2	6.1	-
NMC1573	621	1598728	10	30.3	-
NMC1574	465	1599279	12	36.4	-
NMC1576	1185	1605612	23	69.7	-
NMC1577	2157	1606863	32	97.0	Y
NMC1578	207	1609112	14	42.4	-
NMC1579	618	1609377	19	57.6	-
NMC1580	600	1610122	28	84.8	-
NMC1581	789	1610767	12	36.4	-
NMC1582	1356	1611880	33	100.0	Y
NMC1583	477	1613369	12	36.4	-
NMC1584	387	1614450	5	15.2	-
NMC1585	246	1614833	5	15.2	-
NMC1586	2380	1615450	6	18.2	-
NMC1587	693	1618004	20	60.6	-
NMC1588	1305	1619127	26	78.8	-
NMC1589	1641	1620424	27	81.8	-
NMC1590	519	1622064	12	36.4	-
NMC1591	552	1622586	30	90.9	Y
NMC1592	624	1623145	15	45.5	-
NMC1593	309	1623990	9	27.3	-
NMC1594	2853	1624329	28	84.8	-
NMC1595	840	1627646	22	66.7	-
NMC1596	1194	1628910	31	93.9	Y
NMC1597	1104	1630109	26	78.8	-
NMC1598	1101	1631355	33	100.0	Y
NMC1599	426	1632546	27	81.8	-
NMC1600	1986	1633045	33	100.0	Y
NMC1601	525	1635097	31	93.9	Y
NMC1602	1296	1635786	32	97.0	Y
NMC1603	1002	1637159	11	33.3	-
NMC1604	1077	1638282	33	100.0	Y
NMC1605	825	1639448	16	48.5	-
NMC1606	993	1640221	30	90.9	Y
NMC1607	684	1641280	30	90.9	Y
NMC1608	1335	1642152	33	100.0	Y
NMC1609	852	1643616	26	78.8	-
NMC1610	2223	1644634	12	36.4	-
NMC1611	1485	1646921	33	100.0	Y
NMC1613	516	1648419	12	36.4	-
NMC1614	435	1648941	20	60.6	-
NMC1615	435	1649673	12	36.4	-
NMC1616	612	1650282	18	54.5	-
NMC1617	1137	1650838	24	72.7	-
NMC1618	765	1652172	8	24.2	-
NMC1619	1065	1652937	8	24.2	-
NMC1621	171	1654040	13	39.4	-
NMC1622	1338	1654388	29	87.9	-
NMC1623	661	1655897	12	36.4	-
NMC1624	795	1656566	31	93.9	Y
NMC1625	1335	1657744	31	93.9	Y
NMC1626	369	1659226	1	3.0	-
NMC1627	258	1659638	1	3.0	-
NMC1629	783	1660081	19	57.6	-
NMC1630	300	1661395	13	39.4	-
NMC1632	1452	1662062	28	84.8	-
NMC1633	3204	1663520	33	100.0	Y
NMC1634	1239	1666735	30	90.9	Y
NMC1635	633	1668381	16	48.5	-
NMC1636	258	1669292	5	15.2	-
NMC1637	1569	1669838	3	9.1	-
NMC1638	3210	1671476	14	42.4	-
NMC1639	1410	1674786	23	69.7	-
NMC1640	1526	1676397	26	78.8	-
NMC1643	612	1677927	30	90.9	Y
NMC1645	1446	1678565	33	100.0	Y
NMC1646	1758	1680316	24	72.7	-
NMC1647	468	1682099	12	36.4	-
NMC1648	435	1683253	19	57.6	-
NMC1649	663	1683690	21	63.6	-
NMC1650	837	1684418	12	36.4	-
NMC1651	639	1685509	16	48.5	-
NMC1652	801	1686599	1	3.0	-
NMC1653	522	1687535	1	3.0	-
NMC1654	645	1688378	21	63.6	-
NMC1655	2214	1689347	31	93.9	Y
NMC1656	848	1691843	7	21.2	-
NMC1657	1404	1692854	1	3.0	-
NMC1658	1428	1694326	1	3.0	-
NMC1660	507	1696339	2	6.1	-
NMC1661	1035	1697238	5	15.2	-
NMC1662	345	1698263	5	15.2	-
NMC1663	198	1698612	3	9.1	-
NMC1664	285	1698817	5	15.2	-
NMC1665	279	1699108	2	6.1	-
NMC1667	288	1699544	1	3.0	-
NMC1668	399	1699812	3	9.1	-
NMC1669	360	1700877	12	36.4	-
NMC1670	645	1701259	12	36.4	-
NMC1671	537	1701905	17	51.5	-
NMC1672	1098	1702453	12	36.4	-
NMC1673	1413	1703553	12	36.4	-
NMC1674	795	1705209	2	6.1	-
NMC1675	648	1705979	2	6.1	-
NMC1676	1143	1706636	2	6.1	-
NMC1677	1077	1708001	14	42.4	-
NMC1679	1467	1709284	12	36.4	-
NMC1680	924	1710948	5	15.2	-
NMC1682	1893	1711970	5	15.2	-
NMC1683	285	1714029	17	51.5	-
NMC1684	1809	1714464	33	100.0	Y
NMC1686	738	1716330	25	75.8	-
NMC1687	1230	1717174	28	84.8	-
NMC1688	264	1718482	31	93.9	Y
NMC1689	1143	1719048	33	100.0	Y
NMC1690	2727	1721463	5	15.2	-
NMC1691	1800	1724276	4	12.1	-
NMC1692	813	1727770	28	84.8	-
NMC1693	462	1728772	29	87.9	-
NMC1694	1251	1729230	19	57.6	-
NMC1695	822	1730544	4	12.1	-
NMC1697	1143	1731666	30	90.9	Y
NMC1698	423	1732857	12	36.4	-
NMC1699	810	1733272	20	60.6	-
NMC1700	378	1734163	24	72.7	-
NMC1701	768	1734740	1	3.0	-
NMC1702	933	1735517	1	3.0	-
NMC1703	729	1736601	31	93.9	Y
NMC1704	795	1737353	16	48.5	-
NMC1705	1131	1738178	27	81.8	-
NMC1706	1380	1739344	19	57.6	-
NMC1708	885	1741096	19	57.6	-
NMC1709	1209	1743688	2	6.1	-
NMC1710	312	1744917	1	3.0	-
NMC1711	201	1745232	1	3.0	-
NMC1712	231	1745659	1	3.0	-
NMC1713	300	1745917	1	3.0	-
NMC1714	423	1746233	2	6.1	-
NMC1715	1620	1746543	1	3.0	-
NMC1716	285	1748465	2	6.1	-
NMC1717	1188	1748750	2	6.1	-
NMC1718	957	1750152	3	9.1	-
NMC1719	819	1751514	4	12.1	-
NMC1720	813	1754168	23	69.7	-
NMC1721	873	1755065	22	66.7	-
NMC1722	1203	1755994	23	69.7	-
NMC1724	369	1757193	14	42.4	-
NMC1725	444	1757735	17	51.5	-
NMC1726	765	1758305	26	78.8	-
NMC1727	1200	1759032	31	93.9	Y
NMC1728	1170	1760646	15	45.5	-
NMC1729	2607	1762168	15	45.5	-
NMC1730	1218	1764877	1	3.0	-
NMC1731	726	1766108	1	3.0	-
NMC1732	1155	1766923	15	45.5	-
NMC1733	879	1768163	15	45.5	-
NMC1735	1311	1769664	26	78.8	-
NMC1737	1179	1771113	29	87.9	-
NMC1738	1245	1772410	27	81.8	-
NMC1739	729	1773740	12	36.4	-
NMC1740	915	1774458	30	90.9	Y
NMC1741	1410	1775485	29	87.9	-
NMC1742	1068	1777048	32	97.0	Y
NMC1743	1308	1778119	19	57.6	-
NMC1745	1338	1779570	33	100.0	Y
NMC1746	273	1780997	17	51.5	-
NMC1747	1083	1781384	32	97.0	Y
NMC1748	183	1782713	17	51.5	-
NMC1749	1440	1782892	33	100.0	Y
NMC1750	1647	1784374	2	6.1	-
NMC1751	1479	1786043	32	97.0	Y
NMC1753	1746	1787546	25	75.8	-
NMC1754	270	1789352	12	36.4	-
NMC1755	987	1789612	33	100.0	Y
NMC1756	456	1790595	14	42.4	-
NMC1757	1218	1791329	15	45.5	-
NMC1759	822	1793119	17	51.5	-
NMC1760	645	1793973	14	42.4	-
NMC1762	852	1794620	12	36.4	-
NMC1763	1497	1795571	29	87.9	-
NMC1764	354	1797081	29	87.9	-
NMC1765	1527	1797884	33	100.0	Y
NMC1766	3823	1799442	29	87.9	-
NMC1767	582	1804266	11	33.3	-
NMC1768	771	1805789	32	97.0	Y
NMC1769	282	1806619	14	42.4	-
NMC1770	882	1807368	21	63.6	-
NMC1771	939	1808324	23	69.7	-
NMC1772	1113	1809569	24	72.7	-
NMC1773	1509	1810887	23	69.7	-
NMC1774	807	1812578	24	72.7	-
NMC1775	1008	1813627	24	72.7	-
NMC1776	666	1814844	17	51.5	-
NMC1777	2259	1815522	16	48.5	-
NMC1778	1038	1818014	3	9.1	-
NMC1779	1356	1819055	16	48.5	-
NMC1780	1677	1820798	33	100.0	Y
NMC1781	486	1822534	17	51.5	-
NMC1782	957	1823012	17	51.5	-
NMC1783	729	1824789	20	60.6	-
NMC1784	951	1825881	19	57.6	-
NMC1785	735	1826944	27	81.8	-
NMC1786	1422	1827883	33	100.0	Y
NMC1787	1575	1829657	25	75.8	-
NMC1788	1104	1831553	25	75.8	-
NMC1789	942	1832775	14	42.4	-
NMC1790	1764	1833720	10	30.3	-
NMC1791	324	1835486	8	24.2	-
NMC1792	234	1835862	8	24.2	-
NMC1793	543	1836222	8	24.2	-
NMC1794	720	1836857	13	39.4	-
NMC1795	399	1837582	9	27.3	-
NMC1796	378	1838011	9	27.3	-
NMC1797	465	1838520	2	6.1	-
NMC1798	273	1838993	3	9.1	-
NMC1799	231	1839432	4	12.1	-
NMC1800	630	1839813	13	39.4	-
NMC1801	486	1840393	10	30.3	-
NMC1802	360	1841099	5	15.2	-
NMC1803	336	1841470	10	30.3	-
NMC1804	1125	1842109	12	36.4	-
NMC1805	276	1843320	3	9.1	-
NMC1806	768	1843612	3	9.1	-
NMC1807	276	1844804	12	36.4	-
NMC1808	1284	1845076	17	51.5	-
NMC1809	1419	1846513	33	100.0	Y
NMC1810	810	1848753	23	69.7	-
NMC1811	702	1849564	31	93.9	Y
NMC1812	765	1850734	30	90.9	Y
NMC1813	531	1851542	16	48.5	-
NMC1814	582	1852053	16	48.5	-
NMC1815	537	1852631	28	84.8	-
NMC1816	975	1853232	31	93.9	Y
NMC1818	1056	1854303	31	93.9	Y
NMC1819	291	1855512	11	33.3	-
NMC1820	888	1855819	23	69.7	-
NMC1822	1011	1856776	31	93.9	Y
NMC1823	492	1857817	18	54.5	-
NMC1824	720	1858382	12	36.4	-
NMC1825	867	1859211	13	39.4	-
NMC1826	279	1860126	12	36.4	-
NMC1827	297	1860404	15	45.5	-
NMC1828	549	1860697	13	39.4	-
NMC1829	2628	1861433	1	3.0	-
NMC1830	417	1864232	22	66.7	-
NMC1831	1170	1864695	32	97.0	Y
NMC1832	357	1865875	13	39.4	-
NMC1833	999	1866499	30	90.9	Y
NMC1834	786	1867683	33	100.0	Y
NMC1835	822	1868623	33	100.0	Y
NMC1837	1755	1869654	15	45.5	-
NMC1838	1233	1871807	15	45.5	-
NMC1839	861	1873113	13	39.4	-
NMC1841	633	1873975	13	39.4	-
NMC1842	210	1874600	12	36.4	-
NMC1844	1677	1874894	29	87.9	-
NMC1845	447	1877062	13	39.4	-
NMC1846	975	1877513	30	90.9	Y
NMC1847	309	1878711	33	100.0	Y
NMC1848	273	1879044	33	100.0	Y
NMC1849	1386	1879350	30	90.9	Y
NMC1850	156	1881006	31	93.9	Y
NMC1851	234	1881193	33	100.0	Y
NMC1852	1551	1881676	18	54.5	-
NMC1853	1257	1883226	16	48.5	-
NMC1854	474	1884675	32	97.0	Y
NMC1855	687	1885223	22	66.7	-
NMC1856	1293	1886412	12	36.4	-
NMC1857	969	1887781	12	36.4	-
NMC1858	1470	1888950	12	36.4	-
NMC1859	1860	1890655	10	30.3	-
NMC1861	1209	1893555	2	6.1	-
NMC1862	312	1894784	1	3.0	-
NMC1863	201	1895099	1	3.0	-
NMC1864	231	1895537	1	3.0	-
NMC1865	303	1895796	1	3.0	-
NMC1866	1506	1896545	1	3.0	-
NMC1867	285	1898353	2	6.1	-
NMC1868	1188	1898638	2	6.1	-
NMC1869	957	1900040	3	9.1	-
NMC1870	246	1902080	12	36.4	-
NMC1871	438	1902428	14	42.4	-
NMC1872	492	1902862	18	54.5	-
NMC1873	489	1903703	16	48.5	-
NMC1874	1056	1904259	31	93.9	Y
NMC1875	294	1905368	12	36.4	-
NMC1876	93	1905779	3	9.1	-
NMC1877	279	1905960	4	12.1	-
NMC1878	156	1906220	14	42.4	-
NMC1879	447	1906495	9	27.3	-
NMC1880	465	1907066	12	36.4	-
NMC1882	807	1913331	17	51.5	-
NMC1883	1371	1914357	33	100.0	Y
NMC1884	966	1916101	8	24.2	-
NMC1885	696	1917143	19	57.6	-
NMC1886	660	1918009	1	3.0	-
NMC1887	2112	1918871	9	27.3	-
NMC1889	606	1921168	22	66.7	-
NMC1890	462	1921822	14	42.4	-
NMC1891	912	1922328	23	69.7	-
NMC1892	1302	1923229	12	36.4	-
NMC1894	585	1924635	26	78.8	-
NMC1896	276	1925685	12	36.4	-
NMC1898	795	1926177	26	78.8	-
NMC1899	726	1927180	18	54.5	-
NMC1900	807	1930082	13	39.4	-
NMC1900A	96	1930930	9	27.3	-
NMC1901	828	1931037	13	39.4	-
NMC1902	1047	1931906	12	36.4	-
NMC1903	2064	1932969	33	100.0	Y
NMC1904	897	1935149	33	100.0	Y
NMC1905	423	1936369	27	81.8	-
NMC1906	1398	1936802	33	100.0	Y
NMC1907	876	1938237	32	97.0	Y
NMC1908	1548	1939137	33	100.0	Y
NMC1909	534	1940695	22	66.7	-
NMC1910	471	1941233	26	78.8	-
NMC1911	237	1941774	33	100.0	Y
NMC1912	867	1942067	32	97.0	Y
NMC1913	354	1942923	20	60.6	-
NMC1914	339	1943644	2	6.1	-
NMC1915	861	1944117	28	84.8	-
NMC1916	672	1945033	16	48.5	-
NMC1917	864	1945766	31	93.9	Y
NMC1918	687	1946788	26	78.8	-
NMC1919	738	1947477	31	93.9	Y
NMC1920	1848	1948745	21	63.6	-
NMC1921	213	1950881	33	100.0	Y
NMC1922	405	1951267	31	93.9	Y
NMC1924	456	1951996	14	42.4	-
NMC1925	606	1952459	32	97.0	Y
NMC1926	1713	1953334	12	36.4	-
NMC1927	642	1955151	6	18.2	-
NMC1928	243	1956095	30	90.9	Y
NMC1929	518	1956545	13	39.4	-
NMC1930	489	1957146	16	48.5	-
NMC1931	384	1957631	15	45.5	-
NMC1932	483	1958014	26	78.8	-
NMC1933	828	1958501	23	69.7	-
NMC1934	303	1959325	17	51.5	-
NMC1935	591	1959660	30	90.9	Y
NMC1936	480	1960287	23	69.7	-
NMC1937	777	1960832	33	100.0	Y
NMC1938	861	1961657	32	97.0	Y
NMC1939	914	1962630	12	36.4	-
NMC1940	390	1963751	3	9.1	-
NMC1941	201	1964149	3	9.1	-
NMC1942	1443	1964384	24	72.7	-
NMC1943	3203	1967026	2	6.1	-
NMC1944	1797	1971412	27	81.8	-
NMC1945	1518	1973267	11	33.3	-
NMC1946	1026	1975529	9	27.3	-
NMC1947	2433	1976585	12	36.4	-
NMC1948	1635	1979605	33	100.0	Y
NMC1949	327	1981332	33	100.0	Y
NMC1950	654	1981852	19	57.6	-
NMC1951	1632	1982622	25	75.8	-
NMC1952	1245	1984378	32	97.0	Y
NMC1953	171	1985633	17	51.5	-
NMC1954	324	1985874	30	90.9	Y
NMC1955	420	1986228	12	36.4	-
NMC1956	507	1986669	28	84.8	-
NMC1957	2793	1987321	33	100.0	Y
NMC1958	723	1991459	7	21.2	-
NMC1959	4365	1992290	2	6.1	-
NMC1960	432	1996788	5	15.2	-
NMC1961	156	1997216	5	15.2	-
NMC1962	1347	1997502	27	81.8	-
NMC1963	2145	2000909	11	33.3	-
NMC1964	1014	2003309	24	72.7	-
NMC1965	834	2004789	26	78.8	-
NMC1966	975	2005612	26	78.8	-
NMC1967	627	2006631	17	51.5	-
NMC1968	759	2007342	26	78.8	-
NMC1969	1197	2008404	0	0.0	-
NMC1971	339	2009666	25	75.8	-
NMC1972	3978	2010140	33	100.0	Y
NMC1973	759	2014212	18	54.5	-
NMC1974	4476	2015284	2	6.1	-
NMC1976	1455	2019991	33	100.0	Y
NMC1977	1002	2021531	31	93.9	Y
NMC1978	756	2022684	19	57.6	-
NMC1979	219	2023458	21	63.6	-
NMC1980	345	2023821	17	51.5	-
NMC1981	693	2024165	20	60.6	-
NMC1982	1221	2024924	32	97.0	Y
NMC1983	1323	2026291	25	75.8	-
NMC1984	1392	2027802	33	100.0	Y
NMC1985	1128	2029294	7	21.2	-
NMC1986	1575	2030602	6	18.2	-
NMC1987	3300	2032242	5	15.2	-
NMC1990	387	2035564	1	3.0	-
NMC1991	1683	2035990	1	3.0	-
NMC1992	1056	2037650	1	3.0	-
NMC1993	966	2039326	8	24.2	-
NMC1994	270	2040934	11	33.3	-
NMC1995	450	2041364	12	36.4	-
NMC1996	465	2041901	12	36.4	-
NMC1997	711	2048049	13	39.4	-
NMC1998	513	2048734	27	81.8	-
NMC1999	684	2049370	29	87.9	-
NMC2000	267	2050210	27	81.8	-
NMC2001	471	2050551	29	87.9	-
NMC2002	387	2051075	27	81.8	-
NMC2003	606	2051520	20	60.6	-
NMC2004	600	2052122	20	60.6	-
NMC2005	1593	2052750	19	57.6	-
NMC2006	1386	2054682	13	39.4	-
NMC2007	519	2056087	8	24.2	-
NMC2008	918	2056944	25	75.8	-
NMC2009	750	2057898	28	84.8	-
NMC2010	1242	2058778	22	66.7	-
NMC2011	1059	2060077	8	24.2	-
NMC2012	1653	2061202	4	12.1	-
NMC2013	572	2063024	0	0.0	-
NMC2014	564	2063592	32	97.0	Y
NMC2015	744	2064185	32	97.0	Y
NMC2016	693	2064925	12	36.4	-
NMC2017	798	2067123	16	48.5	-
NMC2018	240	2068043	5	15.2	-
NMC2019	324	2068270	5	15.2	-
NMC2020	1215	2069294	14	42.4	-
NMC2021	1902	2072542	29	87.9	-
NMC2022	876	2075041	13	39.4	-
NMC2023	939	2075925	12	36.4	-
NMC2024	1776	2078138	33	100.0	Y
NMC2025	270	2079913	26	78.8	-
NMC2026	438	2080251	19	57.6	-
NMC2027	564	2080769	21	63.6	-
NMC2028	825	2081401	18	54.5	-
NMC2029	666	2082284	18	54.5	-
NMC2030	1785	2083156	20	60.6	-
NMC2032	804	2085279	33	100.0	Y
NMC2033	1350	2086082	32	97.0	Y
NMC2034	582	2087450	32	97.0	Y
NMC2035	810	2088154	16	48.5	-
NMC2036	930	2089034	27	81.8	-
NMC2037	393	2090219	33	100.0	Y
NMC2038	432	2090621	33	100.0	Y
NMC2039	306	2091415	18	54.5	-
NMC2040	330	2091731	17	51.5	-
NMC2041	990	2092115	28	84.8	-
NMC2042	2703	2093227	28	84.8	-
NMC2043	948	2095918	21	63.6	-
NMC2044	225	2097563	16	48.5	-
NMC2045	1389	2097788	28	84.8	-
NMC2046	1272	2099262	18	54.5	-
NMC2047	1485	2100598	32	97.0	Y
NMC2048	1224	2102430	10	30.3	-
NMC2049	1101	2103650	25	75.8	-
NMC2050	618	2104771	24	72.7	-
NMC2051	195	2105811	20	60.6	-
NMC2052	789	2106219	29	87.9	-
NMC2053	825	2107770	12	36.4	-
NMC2054	1779	2108707	18	54.5	-
NMC2055	438	2110482	26	78.8	-
NMC2056	855	2111628	27	81.8	-
NMC2057	582	2112544	12	36.4	-
NMC2058	1116	2113301	33	100.0	Y
NMC2059	531	2114509	21	63.6	-
NMC2060	345	2115050	13	39.4	-
NMC2061	780	2115381	32	97.0	Y
NMC2062	2100	2116243	33	100.0	Y
NMC2064	1050	2118352	3	9.1	-
NMC2065	1155	2119484	33	100.0	Y
NMC2066	354	2121196	13	39.4	-
NMC2068	1011	2121584	29	87.9	-
NMC2069	348	2122506	25	75.8	-
NMC2070	594	2122858	33	100.0	Y
NMC2071	609	2123515	22	66.7	-
NMC2072	594	2124188	11	33.3	-
NMC2073	780	2124821	33	100.0	Y
NMC2074	300	2125755	13	39.4	-
NMC2075	561	2126106	13	39.4	-
NMC2076	1467	2126854	20	60.6	-
NMC2077	591	2128857	12	36.4	-
NMC2078	660	2129508	20	60.6	-
NMC2079	210	2130167	16	48.5	-
NMC2080	729	2130577	33	100.0	Y
NMC2081	834	2131455	33	100.0	Y
NMC2082	720	2132505	33	100.0	Y
NMC2083	963	2133408	10	30.3	-
NMC2084	1383	2134410	10	30.3	-
NMC2085	318	2135789	8	24.2	-
NMC2086	687	2136158	8	24.2	-
NMC2087	207	2136854	5	15.2	-
NMC2088	252	2137192	6	18.2	-
NMC2089	333	2137479	5	15.2	-
NMC2090	987	2138062	10	30.3	-
NMC2091	348	2139130	4	12.1	-
NMC2092	324	2139480	4	12.1	-
NMC2093	345	2139841	3	9.1	-
NMC2094	582	2140164	3	9.1	-
NMC2095	219	2140938	3	9.1	-
NMC2096	360	2141153	6	18.2	-
NMC2097	213	2141588	6	18.2	-
NMC2098	195	2141866	11	33.3	-
NMC2099	357	2142065	6	18.2	-
NMC2100	129	2142469	2	6.1	-
NMC2101	375	2142594	4	12.1	-
NMC2102	530	2143035	2	6.1	-
NMC2103	987	2143926	30	90.9	Y
NMC2104	801	2144952	31	93.9	Y
NMC2106	1344	2145877	33	100.0	Y
NMC2107	243	2147268	13	39.4	-
NMC2108	216	2147503	12	36.4	-
NMC2109	1494	2147794	10	30.3	-
NMC2110	1230	2149399	27	81.8	-
NMC2112	1848	2151040	29	87.9	-
NMC2113	4170	2152942	13	39.4	-
NMC2114	1458	2158083	17	51.5	-
NMC2116	1104	2160450	32	97.0	Y
NMC2118	903	2161656	25	75.8	-
NMC2119	450	2162891	14	42.4	-
NMC2120	309	2163414	13	39.4	-
NMC2121	867	2163814	21	63.6	-
NMC2122	768	2164649	12	36.4	-
NMC2123	588	2165438	14	42.4	-
NMC2124	441	2166442	12	36.4	-
NMC2125	966	2167356	8	24.2	-
NMC2126	654	2168865	19	57.6	-
NMC2128	603	2169590	17	51.5	-
NMC2129	1272	2170226	27	81.8	-
NMC2130	318	2171655	15	45.5	-
NMC2131	612	2172024	21	63.6	-
NMC2132	936	2172698	19	57.6	-
NMC2133	750	2173644	27	81.8	-
NMC2134	969	2174619	21	63.6	-
NMC2135	636	2175625	23	69.7	-
NMC2136	681	2176375	26	78.8	-
NMC2137	1038	2177313	28	84.8	-
NMC2138	2595	2178761	30	90.9	Y
NMC2139	492	2181478	9	27.3	-
NMC2140	399	2181973	12	36.4	-
NMC2141	1395	2182389	32	97.0	Y
NMC2142	657	2183899	18	54.5	-
NMC2143	354	2184552	18	54.5	-
NMC2144	483	2185029	22	66.7	-
NMC2145	651	2185705	31	93.9	Y
NMC2146	918	2186352	28	84.8	-
NMC2147	279	2187330	26	78.8	-
NMC2148	1179	2187675	32	97.0	Y
NMC2149	1254	2188934	32	97.0	Y
NMC2150	975	2190551	22	66.7	-
NMC2151	462	2191558	19	57.6	-
NMC2152	1338	2192048	25	75.8	-
NMC2153	1449	2193382	31	93.9	Y

Core loci: 487

Present in % of isolates	Number of loci	Percentage (%) of loci
0 - <5	116	5.9
5 - <10	154	7.8
10 - <15	34	1.7
15 - <20	51	2.6
20 - <25	55	2.8
25 - <30	22	1.1
30 - <35	83	4.2
35 - <40	213	10.8
40 - <45	47	2.4
45 - <50	82	4.2
50 - <55	100	5.1
55 - <60	47	2.4
60 - <65	95	4.8
65 - <70	74	3.7
70 - <75	47	2.4
75 - <80	104	5.3
80 - <85	98	5.0
85 - <90	66	3.3
90 - <95	157	7.9
95 - <100	102	5.2
100	228	11.5

